Time (s);Horizontal Wave Bending Moment (N.m);Vertical Wave Bending Moment (N.m);Torsional Wave Bending Moment  (N.m)
64.1;-2642.650390625;-374126.1875;-4847.54052734375
64.2;-3818.8857421875;282087.5;-4865.634765625
64.3;-5015.92724609375;953848;-4471.94140625
64.4;-6196.15234375;1608036;-3705.76806640625
64.5;-7309.72314453125;2213136.5;-2653.73388671875
64.6;-8321.3828125;2742873.5;-1438.45141601563
64.7;-9190.609375;3178816;-199.89794921875
64.8;-9910.6796875;3511795.5;924.4208984375
64.9;-10466.9150390625;3741692;1820.318359375
65;-10849.87109375;3875999;2412.31298828125
65.1;-11076.1796875;3927157;2673.0693359375
65.2;-11149.318359375;3909371;2624.103515625
65.3;-11105.9013671875;3835248.5;2328.7724609375
65.4;-10960.0947265625;3713947;1878.0908203125
65.5;-10708.82421875;3549482;1373.1953125
65.6;-10364.1611328125;3340738.5;907.12060546875
65.7;-9923.94140625;3082767.5;549.31689453125
65.8;-9379.724609375;2768950.5;335.94140625
65.9;-8723.359375;2393581.5;265.98388671875
66;-7952.64990234375;1954416;310.263427734375
66.1;-7066.302734375;1454506;414.54833984375
66.2;-6072.35888671875;903048.25;517.993408203125
66.3;-4989.22509765625;315041.0625;566.91552734375
66.4;-3841.30517578125;-290212.5;525.544494628906
66.5;-2658.99560546875;-891400.125;383.863830566406
66.6;-1474.18933105469;-1467769.5;158.8134765625
66.7;-316.213134765625;-2001653.5;-110.58837890625
66.8;786.614013671875;-2480169;-372.20751953125
66.9;1814.12854003906;-2896192;-572.78955078125
67;2756.84326171875;-3248041.5;-669.30908203125
67.1;3607.15112304688;-3538256.5;-638.05908203125
67.2;4367.84033203125;-3771824.5;-477.989990234375
67.3;5042.8642578125;-3953987.5;-211.785888671875
67.4;5632.21826171875;-4088520;122.075927734375
67.5;6139.5595703125;-4176555;476.244140625
67.6;6568.685546875;-4216221;806.102172851563
67.7;6877.69140625;-4203265;1077.90759277344
67.8;7129.72509765625;-4132772;1275.98608398438
67.9;7275.6103515625;-4000322.5;1401.83654785156
68;7319.6845703125;-3804134;1471.95190429688
68.1;7263.88037109375;-3546121;1509.85302734375
68.2;7114.1484375;-3232286;1536.64404296875
68.3;6883.212890625;-2872186.5;1561.74462890625
68.4;6589.88134765625;-2477437;1576.74682617188
68.5;6251.763671875;-2059626;1553.5078125
68.6;5885.61181640625;-1628141.5;1448.44921875
68.7;5507.3759765625;-1188249.75;1208.26672363281
68.8;5119.47802734375;-740079.625;789.033996582031
68.9;4721.9033203125;-278579.625;160.461517333984
69;4308.609375;205140.84375;-675.220092773438
69.1;3860.189453125;721573.25;-1679.75219726563
69.2;3375.76293945313;1279816.5;-2777.6025390625
69.3;2818.45947265625;1884530.75;-3862.1875
69.4;2190.01440429688;2533322;-4811.1533203125
69.5;1490.865234375;3215166;-5500.8994140625
69.6;734.0830078125;3910168.5;-5827.96875
69.7;-57.9677734375;4590962;-5725.921875
69.8;-851.96337890625;5225103;-5177.42626953125
69.9;-1606.52294921875;5778898;-4219.48583984375
70;-2276.65185546875;6221086;-2938.93017578125
70.1;-2829.88916015625;6526533;-1461.93090820313
70.2;-3262.0107421875;6678812;65.6591796875
70.3;-3557.41333007813;6671596;1496.82421875
70.4;-3658.158203125;6508711;2705.3046875
70.5;-3611.23681640625;6202299;3601.19921875
70.6;-3422.82373046875;5770406;4140.96484375
70.7;-3120.29077148438;5233845;4328.6611328125
70.8;-2730.06494140625;4613225;4210.7041015625
70.9;-2275.84643554688;3926460.5;3864.19921875
71;-1778.07995605469;3187506;3377.92724609375
71.1;-1251.04309082031;2406155;2838.349609375
71.2;-700.977905273438;1589015.5;2315.03759765625
71.3;-132.492492675781;741251.5;1851.23168945313
71.4;450.504516601563;-131258.75;1463.1298828125
71.5;1046.28271484375;-1020041.25;1140.8076171875
71.6;1643.98486328125;-1912679.75;858.073608398438
71.7;2232.65185546875;-2792528.5;584.971557617188
71.8;2793.0546875;-3639267;296.4013671875
71.9;3305.60864257813;-4430798;-17.36767578125
72;3741.158203125;-5145282;-347.49609375
72.1;4081.271484375;-5763582;-667.1298828125
72.2;4303.6953125;-6271302;-938.10205078125
72.3;4395.9072265625;-6659953;-1119.15625
72.4;4354.19482421875;-6927355;-1178.60693359375
72.5;4181.0087890625;-7076765;-1100.7314453125
72.6;3879.26953125;-7115243;-892.6015625
72.7;3481.03271484375;-7051666;-585.4892578125
72.8;2996.38842773438;-6894422;-228.482421875
72.9;2429.69946289063;-6649846;119.19189453125
73;1795.6455078125;-6321324;400.231689453125
73.1;1099.92041015625;-5909455;570.52001953125
73.2;346.02978515625;-5413137;607.936279296875
73.3;-465.1767578125;-4831361;516.9873046875
73.4;-1333.1767578125;-4165348;327.4521484375
73.5;-2251.8896484375;-3420424.5;87.91943359375
73.6;-3210.93823242188;-2607295.5;-145.249267578125
73.7;-4192.5009765625;-1742286.25;-320.495483398438
73.8;-5172.833984375;-846579.75;-403.458374023438
73.9;-6123.326171875;55760.7421875;-384.830810546875
74;-7010.79736328125;940245.25;-284.265014648438
74.1;-7803.322265625;1784724.5;-146.928955078125
74.2;-8476.111328125;2571831.5;-34.66357421875
74.3;-9010.181640625;3290500.5;-12.943603515625
74.4;-9396.484375;3936491;-136.013916015625
74.5;-9634.4873046875;4511565;-433.75
74.6;-9735.5283203125;5021549;-902.56494140625
74.7;-9712.126953125;5473735;-1502.47094726563
74.8;-9582.5107421875;5873965;-2161.31811523438
74.9;-9361.1142578125;6224261;-2785.71899414063
75;-9058.3388671875;6521163;-3276.2314453125
75.1;-8676.765625;6755426;-3544.65795898438
75.2;-8209.5703125;6912873;-3529.52026367188
75.3;-7661.8662109375;6976521;-3207.62353515625
75.4;-7032.71826171875;6929669;-2597.91064453125
75.5;-6251.6865234375;6758656;-1759.63696289063
75.6;-5326.9384765625;6455901;-781.481201171875
75.7;-4261.861328125;6021503;232.52490234375
