Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
326;804.981140136719;-278432.5;501.977905273438
326.5;-5439.26171875;1542777.5;-27.7360229492188
327;-10783.544921875;3213729;-622.078979492188
327.5;-14466.4814453125;4209529.5;-1053.29260253906
328;-15997.60546875;4208295.5;-1134.62097167969
328.5;-15234.390625;3213405;-799.01611328125
329;-12360.9453125;1557027.5;-130.725738525391
329.5;-7876.880859375;-204323.625;660.913330078125
330;-2469.87255859375;-1475607.5;1317.14562988281
330.5;3090.34594726563;-1819721;1619.29663085938
331;8072.984375;-1102706.25;1462.25158691406
331.5;11866.6435546875;469481.3125;885.466857910156
332;14047.8076171875;2420473;58.3950500488281
332.5;14407.3720703125;4159188.5;-775.086181640625
333;12952.501953125;5160654;-1372.33959960938
333.5;9888.5625;5110367;-1566.1494140625
334;5597.7099609375;3968882;-1313.11584472656
334.5;598.351318359375;1950232.5;-701.506469726563
335;-4503.3828125;-571846.625;82.6019287109375
335.5;-9074.169921875;-3180119.5;820.066528320313
336;-12526.6640625;-5511179;1328.97900390625
336.5;-14399.388671875;-7304802;1513.15661621094
337;-14426.74609375;-8405480;1375.75695800781
337.5;-12585.533203125;-8733230;995.651000976563
338;-9109.041015625;-8254128;482.914306640625
338.5;-4458.236328125;-6979468;-63.9177856445313
339;747.600891113281;-4987368;-582.618347167969
339.5;5817.291015625;-2463958;-1044.06518554688
340;10089.1875;281975.65625;-1431.16967773438
340.5;13022.177734375;2844361;-1714.16296386719
341;14258.892578125;4803001.5;-1837.12463378906
341.5;13663.55078125;5842145;-1729.98852539063
342;11329.3671875;5863753;-1342.14440917969
342.5;7562.8623046875;5049509;-684.331665039063
343;2844.56762695313;3830822.5;143.3046875
343.5;-2225.43139648438;2773153;957.710632324219
344;-6984.0986328125;2390911.25;1541.681640625
344.5;-10774.9580078125;2968161.75;1719.12976074219
345;-13069.2177734375;4434749;1428.9990234375
345.5;-13498.9990234375;6360520;762.546875
346;-11960.9033203125;8060901;-55.7485427856445
346.5;-8640.515625;8803590;-741.9052734375
347;-4018.19702148438;8030704;-1048.21984863281
347.5;1203.69970703125;5539893;-847.975219726563
348;6197.642578125;1560781;-174.651245117188
348.5;10156.173828125;-3298888.75;791.572509765625
349;12435.990234375;-8207754;1779.77905273438
349.5;12674.263671875;-12319100;2505.94946289063
350;10856.3837890625;-14962440;2749.46533203125
350.5;7308.49169921875;-15769636;2409.95092773438
351;2649.8642578125;-14699612;1532.73278808594
351.5;-2338.98217773438;-11988190;294.780029296875
352;-6848.400390625;-8044931;-1046.14367675781
352.5;-10169.3017578125;-3352465.5;-2222.05029296875
353;-11807.8671875;1599461.75;-3023.04443359375
353.5;-11548.8935546875;6336656;-3340.53491210938
354;-9477.16015625;10396724;-3173.26513671875
354.5;-5946.814453125;13326196;-2600.50854492188
355;-1522.4306640625;14709216;-1741.91821289063
355.5;3105.22119140625;14239800;-720.267333984375
356;7217.7822265625;11814636;359.846069335938
356.5;10173.71875;7619931;1407.97241210938
357;11502.2578125;2160784.5;2334.93359375
357.5;10975.37109375;-3789739.5;3037.86596679688
358;8653.466796875;-9319418;3399.14794921875
358.5;4885.9345703125;-13559800;3308.7900390625
359;270.149658203125;-15863664;2704.9453125
359.5;-4445.93505859375;-15929548;1620.5263671875
360;-8477.5390625;-13830838;207.11572265625
360.5;-11149.140625;-9959632;-1279.19982910156
361;-12001.296875;-4899332;-2539.1494140625
361.5;-10879.1865234375;714067.3125;-3317.01318359375
362;-7959.24365234375;6298189;-3481.22705078125
362.5;-3711.0625;11369604;-3062.88671875
363;1188.84887695313;15529442;-2236.36303710938
363.5;5974.30419921875;18423300;-1251.32934570313
364;9921.5869140625;19711448;-341.263916015625
364.5;12443.83984375;19089388;351.921020507813
365;13187.767578125;16365428;810.738647460938
365.5;12050.8203125;11571590;1121.77185058594
366;9184.0791015625;5062419;1411.73754882813
366.5;4969.8349609375;-2453134.5;1767.8095703125
367;-37.51025390625;-9977944;2178.86938476563
367.5;-5177.39697265625;-16395516;2524.17358398438
368;-9764.3154296875;-20699268;2616.68334960938
368.5;-13159.7861328125;-22225900;2287.58447265625
369;-14862.2099609375;-20812776;1472.6005859375
369.5;-14581.939453125;-16837476;262.779052734375
370;-12288.611328125;-11122372;-1107.60144042969
370.5;-8237.603515625;-4732382.5;-2333.17236328125
371;-2960.45678710938;1268923.75;-3138.80078125
371.5;2815.02270507813;6041149;-3369.34057617188
372;8254.998046875;9101594;-3031.02221679688
372.5;12560.0615234375;10355650;-2273.4560546875
373;15089.671875;10030146;-1324.99584960938
373.5;15482.330078125;8552190;-413.777587890625
374;13698.0380859375;6422059;296.7197265625
374.5;10025.91796875;4110841;738.7890625
375;5031.0625;2014320;931.723999023438
375.5;-541.8662109375;432997;946.977355957031
376;-5891.7080078125;-429137.5;864.412780761719
376.5;-10278.8798828125;-475594.25;739.136779785156
377;-13121.552734375;256479.265625;589.868041992188
377.5;-14069.294921875;1568244;412.697235107422
378;-13037.2099609375;3093093.5;205.854431152344
378.5;-10209.697265625;4342641;-5.48388671875
379;-6013.67724609375;4807529;-164.877624511719
379.5;-1057.61083984375;4099719;-198.946105957031
380;3945.1083984375;2089072;-49.0952758789063
380.5;8267.3193359375;-1007753.6875;296.012268066406
381;11281.517578125;-4641259.5;777.317626953125
381.5;12550.6513671875;-8042137;1264.68920898438
382;11901.435546875;-10421390;1584.37377929688
382.5;9458.75;-11189722;1570.60095214844
383;5638.95458984375;-10132414;1128.98974609375
383.5;1063.75402832031;-7476038;291.5634765625
384;-3532.9091796875;-3824927;-768.396606445313
384.5;-7437.2529296875;17370.9375;-1773.65087890625
385;-10074.2060546875;3278714;-2429.81201171875
385.5;-11100.619140625;5431104;-2530.00927734375
386;-10445.7353515625;6312646;-2033.59521484375
