Time (s);Momen Horizontal (N.m);Momen Vertikal (N.m);Momen Torsional (N.m)
282;-4669733.5;757422.125;-268966.5
282.5;-3963735.5;1802087.5;-810096.0625
283;-3849593.75;2410738.5;-1165934.625
283.5;-4067757.5;2401064;-1249307.5
284;-4165342.25;1748455;-1041322.5625
284.5;-3633592.5;598470;-595501.75
285;-2066488.875;-767615;-23264.5546875
285.5;701746.25;-2004131.5;536221.125
286;4516325;-2788354.75;952770.9375
286.5;8899574;-2904873.75;1137692.25
287;13132400;-2302396.5;1062043.25
287.5;16399194;-1110222.5;758235.125
288;17963906;392577.75;307628.25
288.5;17335794;1845679.375;-180490.6875
289;14386200;2898574;-593420.875
289.5;9388852;3298537.25;-839864.8125
290;2976272;2954719;-871808.625
290.5;-3976096.5;1959884.25;-698253.9375
291;-10509746;564599.25;-384228.0625
291.5;-15750378;-888244.5;-32517.078125
292;-19047692;-2052077;249143.5
292.5;-20060756;-2664192;383693.75
293;-18779432;-2610161.5;349620.1875
293.5;-15486289;-1948923.75;184870.0625
294;-10677912;-890833.125;-30793.34375
294.5;-4969527;261810.625;-206909.28125
295;994161.9375;1198288;-274034.15625
295.5;6605247;1682596.5;-205274.84375
296;11332712;1614208.5;-21996.15625
296.5;14740022;1050495;215378.0625
297;16494602;185446;426538.0625
297.5;16379424;-707460.5;534488.0625
298;14318426;-1355415.5;486817.625
298.5;10411340;-1562401.625;271338.9375
299;4971974;-1263532.875;-76859.109375
299.5;-1450979;-542154;-479343.125
300;-8088314;394844.875;-829669.625
300.5;-14015072;1276423.25;-1019466.8125
301;-18267548;1843477;-969851.375
301.5;-20002144;1922107.5;-659450.4375
302;-18667884;1472378;-138288.84375
302.5;-14156050;602679;479719.6875
303;-6887922.5;-459614.5625;1045497.375
303.5;2187508.5;-1427116.5;1415428.875
304;11704126;-2030841.5;1489416.625
304.5;20084292;-2094444.5;1235391.125
305;25811024;-1585315;694792
305.5;27715348;-627260;-27834.34375
306;25220830;529847.75;-785860
306.5;18489860;1576676.375;-1417692.875
307;8437786;2228034.25;-1779107.25
307.5;-3398747;2301433;-1776990.75
308;-15116002;1767446.5;-1398471.25
308.5;-24775312;759167;-723005.9375
309;-30747768;-462560.3125;92582.1875
309.5;-32005652;-1577677.5;856192.5
310;-28303496;-2291732.5;1396527.875
310.5;-20216294;-2413594.5;1610404
311;-9029841;-1907831;1483468.5
311.5;3491663.5;-905227.25;1079762.5
312;15412450;330431.625;511151.90625
312.5;24947290;1471342.5;-96481.875
313;30739288;2213153.75;-628526.25
313.5;32047878;2356817.5;-996640.3125
314;28822044;1862820.75;-1148452.375
314.5;21658172;861908.125;-1075868
315;11663746;-379260.0625;-819248.125
315.5;260587.78125;-1530080.625;-461268.8125
